genre,artist,album,song,lyrics

She ain't for the shelf

No, she's the one

Smoke with her till the weed is gone

Stayin' up until we see the sun

Baddest ever, I swear she do it better than I've ever seen it done

Never borrow, she ain't ever loan

That's when she told me she ain't never ever ever ever gonna be owned


[Verse 5: Grace]

I don't tell you what to say

I don't tell you what to do

So just let me be myself

That's all I ask of you

I'm young and I love to be young

I'm free and I love to be free

To live my life the way I want

To say and do whatever I please


You don't own me

You don't own me

You don't, you don't

You don't own me

You don't own me

You don't own me"

Rock,Soundtrack,Suicide Squad: The ,Know Better ,"(Kevin Gates)


[Hook]

You shoulda known when it comes to the dough I'ma get it

You should know better

Do it all for my dogs, everyday goin' hard, I'm a winner

You should know better

Used to dream about a mil

Now we gettin' it for real

Shoulda left you right there where I met you

You shoulda known when it comes to the dough I'ma get it

I'm a bread winner


[Verse 1]

Gettin' it in, gotta win, we not kickin' it

Bread winner team, we sick and we live with it

Whippin' machines equipped with a fridge in it

We the connect, we not bout to mention it

We with the shit, no talkin', we finish it

Some say I'm ignorant

Mecca, we touchin' September, I'm making my pilgrimage (Allahu Akbar)

Maybe I'm different

Looked at you like you were special, you not even build for this

UFOs in the crush Gates

So when it's up niggas goin' nuts

Big shit tucked, toolie on clutch

Pockets on lump, free my nigga Lump

Goin' out dumb

Engine on run

Thuggin' in the slums

Thumbin' through the hun's

Separate the ones

(Somebody called a riot?)

My daughter get the violets

Break bread, slidin', lay up in the Hyde

Room too expensive

Motel 6 and bitch quit trippin'

Niggas in feelin's

Wait don't wait, forklift liftin'

Brasi gon' fix the traps up, vision


[Hook]

You shoulda known when it comes to the dough I'ma get it

You should know better

Do it all for my dogs, everyday goin' hard, I'm a winner

You should know better

Used to dream about a mil

Now we gettin' it for real

Shoulda left you right there where I met you

You shoulda known when it comes to the dough I'ma get it

I'm a bread winner


[Interlude]

Hey man what you talkin' bout? Man just do you Gates

There it is


[Verse 2]

Dabbed in, front pockets stuffed

Money look like we been doin' lunges

Raised up in the blunt, I'm doin' crunches

Tattooed all over my stomach

Out in London talkin' to Big London

Stand up in they chest, okay I love you

Niggas hatin', wait I'm doin' numbers

In they feelin's, tell 'em I say fuck 'em

Hold up, wait, tell 'em that I love 'em

We could go, we had a discussion

Fame tend to blind the people on the side of you like you never mean nothin'

Focus on brand new things

Tryna show my children how to hustle

Teach 'em how to trust one another

All we got is us and your mother

Fall down, get back up again

Lose it all right before you win

Kevin man, you messin' up your gift

Shit like this be hard to come again

Fall bad, I know I admit it

Real struggle, I don't ever quit it

Thinkin' back when I ain't have a cent

Back when I ain't have a shit to give


[Hook]

You shoulda known when it comes to the dough I'ma get it

You should know better

Do it all for my dogs, everyday goin' hard, I'm a winner

You should know better

Used to dream about a mil

Now we gettin' it for real

Shoulda left you right there where I met you

You shoulda known when it comes to the dough I'ma get it

I'm a bread winner


[Outro]

She spoken to me bruh. Yeah she spoken to me you know ""I'm sorry bruh I like this shit, you heard me?"" Shit bothered me

I'm a bread winner"

Rock,Soundtrack,Suicide Squad: The ,Gangsta ,"(Kehlani)


[Hook]

I need a gangsta

To love me better

Than all the others do

To always forgive me

Ride or die with me

That's just what gangsters do


[Verse 1]

I'm fucked up, I'm black and blue

I'm built for it, all the abuse

I got secrets, that nobody, nobody, nobody knows

I'm good on, that pussy shit

I don't want, what I can get

I want someone, with secrets

That nobody, nobody, nobody knows


[Hook]

I need a gangsta

To love me better

Than all the others do

To always forgive me

Ride or die with me

That's just what gangsters do


[Verse 2]

My freakness is on the loose

And running, all over you

Please take me to places, that nobody, nobody knows

You got me hooked up on the feeling

You got me hanging from the ceiling

Got me up so high I'm barely breathing

So don't let me, don't let me, donâ€™t let me, don't let me go


[Hook]

I need a gangsta

To love me better

Than all the others do

To always forgive me

Ride or die with me

That's just what gangsters do

They do, they do, they do oh

To always forgive me

Ride or die with me

That's just what gangsters do"

Rock,Soundtrack,Suicide Squad: The ,Standing In the Rain ,"(Action Bronson)


[Chorus: Dan Auerbach]

I saw you standing in the rain

You were holding his hand

And I'll never be the same


[Verse 1: Action Bronson]

You can see me on the riviera dressed like a Playboy

Or you can catch me up in Rivieras Tuesday night

Pillow fights with Dominican mothers

That's what happens when theres suede on the roof

Swervin' lane to lane in a coupe

Shit, if I crash it, I'll probably just leave it as a token

That your boy coulda died right there, no jokin'

Uh, eating well so my foot's swollen

Fuck it man I'm rollin', you rollin' or not?

The boat plane's waiting at the dock

I wonder if he let me fly it, but it's a long shot

The money eases everybody's mind

Put kids through school, new titties on wives

New tits for the mistress

Fuck it, new titties for everybody, it's Christmas, yeah


[Chorus: Dan Auerbach]

I saw you standing in the rain

You were holding his hand

And I'll never be the same no


[Verse 2: Action Bronson]

I use milfhunter.com to ease the pain

It was ninety-two degrees with rain

Right before the seasons changed

On trees just a little bit of leaves remain

My heart broke when his cock was in your throat

But fuck that laid top out on the boat

Heard you fucked around at Philippine and 1 OAK

My man seen you both at the Sonoko

Kissing and touching, lied and said that this was your cousin

Shit, I should have known when you stole money

Bitch called the cop and rolled on me

So good, I got old money

To lay on any motherfucking beach on the planet

With equestrian colored salmon

We examine my life and make sure I'm never dumb again

But first, slide your panties to the side girl, I'm comin' in


[Chorus: Dan Auerbach]

I saw you standing in the rain

You were holding his hand and I'll never be the same, no

I saw you standing in the rain

You were holding his hand and I'll never be the same no"

Rock,Soundtrack,Suicide Squad: The ,Heathens ,"(twenty one pilots)


[Chorus]

All my friends are heathens, take it slow

Wait for them to ask you who you know

Please don't make any sudden moves

You don't know the half of the abuse

All my friends are heathens, take it slow

Wait for them to ask you who you know

Please don't make any sudden moves

You don't know the half of the abuse


[Verse 1]

Welcome to the room of people

Who have rooms of people that they loved one day

Locked away

Just because we check the guns at the door

Doesn't mean our brains will change from hand grenades

You're loving on the psychopath sitting next to you

You're loving on the murderer sitting next to you

You'll think, â€œHow'd I get here, sitting next to you?""

But after all I've said, please don't forget


[Chorus]

All my friends are heathens, take it slow

Wait for them to ask you who you know

Please don't make any sudden moves

You don't know the half of the abuse


[Verse 2]

We don't deal with outsiders very well

They say newcomers have a certain smell

You have trust issues, not to mention

They say they can smell your intentions

You're loving on the freakshow sitting next to you

You'll have some weird people sitting next to you

You'll think â€œHow did I get here, sitting next to you?""

But after all I've said, please don't forget

(Watch it, watch it)


[Chorus]

All my friends are heathens, take it slow

Wait for them to ask you who you know

Please don't make any sudden moves

You don't know the half of the abuse


[Bridge]

All my friends are heathens, take it slow

(Watch it)

Wait for them to ask you who you know

(Watch it)

Please all my friends are heathens, take it slow

(Watch it)

Wait for them to ask you who you know


[Outro]

Why'd you come? You knew you should have stayed

(It's blasphemy)

I tried to warn you just to stay away

(Away)

And now they're outside ready to bust

(To bust)

It looks like you might be one of us"

Rock,Soundtrack,Suicide Squad: The ,Sucker For Pain ,"(Atlantic Records)


[Chorus: Dan Reynolds]

I torture you, take my hand through the flames

I torture you, I'm a slave to your games

(IÃ¢â‚¬Ëœm just a sucker for pain)

I wanna chain you up

I wanna tie you down

I'm just a sucker for pain


[Verse 1: Ty Dolla $ign]

I'm a sucker for pain

I got the squad tatted on me from my neck to my ankles

Pressure from the man got us all in rebellion

We gon' go to war, yeah, without failure

Do it for the fam dog, ten toes down dog

Love and the loyalty that's what we stand for

Alienated by society

All this pressure give me anxiety

Walk slow through the fire

Like, who gon' try us?

Feeling the world go against us

So we put the world on our shoulders


[Chorus: Dan Reynolds]

I torture you, take my hand through the flames

I torture you, I'm a slave to your games

(I'm just a sucker for pain)

I wanna chain you up

I wanna tie you down

I'm just a sucker for pain


[Verse 2: Logic]

I been at it with my homies

It don't matter, you don't know me

I been rollin' with my team, we the illest on the scene

I been riding 'round the city with my squad

I been riding 'round the city with my squad

We just posted, getting crazy, living like this is so amazing

Hold up take a step back, when we roll up, cause I know what

We been loyal, we been fam, we the ones you trust in

Won't hesitate to go straight to your head like a concussion

I know I been bussin', no discussion for my family

No hesitation, through my scope I see my enemy

Like what's up? Hold up, we finna re-load up

Yes I re-load up, I know what up, I know what up


[Chorus: Dan Reynolds]

I torture you, take my hand through the flames

I torture you, I'm a slave to your games

(I'm just a sucker for pain)

I wanna chain you up

I wanna tie you down

I'm just a sucker for pain


[Verse 3: Lil Wayne]

Uh, devoted to destruction

A full dosage of detrimental dysfunction

I'm dying slow but the devil tryna rush me

See I'm a fool for pain, I'm a dummy

Might cut my head off right after I slit my throat

Tongue kiss a shark, got jealous bitches up in the boat

Eating peanut butter and jelly fishes on toast

And if I get stung I get stoked, might choke

Like I chewed a chunk of charcoal, naked in the North Pole

That's why my heart cold, full of sorrow, the lost soul

And only Lord knows when I'm coming to the crossroads

So I don't fear shit but tomorrow

And I'm a sucker for pain, it ain't nuttin' but pain

You just fuckin' complain, you ain't tough as you claim

Just stay up in your lane, just don't fuck with Lil Wayne

I'ma jump from my plane or stand in front of a train

Cause I'm a sucker for pain


[Verse 4: Wiz Khalifa]

Used to doing bad, now we feel like we just now getting it

Ain't got no other way so we start it and finish it

No pain, no gain

Never stand down, made our own way

Never going slow, we pick up the pace

This is what we wanted from a young age

No emotion, that's what business is

Lord have mercy on the witnesses


[Chorus: Dan Reynolds]

I torture you, take my hand through the flames

I torture you, I'm just a sucker for pain


[Outro: Sam Harris]

More pain

Got me begging, begging, begging, begging, begging

For more pain

Got me begging, begging, begging, begging, begging

For more pain

Got me begging, begging, begging, begging, begging

For more pain"

Rock,Soundtrack,Suicide Squad: The ,Spirit in the Sky ,"(Erik Jacobsen)


When I die and they lay me to rest

Gonna go to the place that's the best

When they lay me down to die

Goin up to the spirit in the sky


Goin' up to the Spirit in the sky (Spirit in the sky)

That's where I'm gonna go when I die (When I die)

When I die and they lay me to rest

I'm gonna go to the place that's the best


Prepare yourself, you know it's a must

Gotta have a friend in Jesus

So you know that when you die

He's gonna recommend you to the Spirit in the sky

(Spirit in the sky)

Whoa he'll recommend you to the Spirit in the sky

That's where you're gonna go when you die (when you die)

When you die, and they lay you to rest

You're gonna go to the place that's the best


Never been a sinner, I've never sinned

I've got a friend in Jesus

So you know that when I die

He's gonna set me up with the Spirit in the sky


Whoa, set me up with the Spirit in the sky (Spirit in the sky)

That's where I'm gonna go when I die (when I die)

When I die and they lay me to rest

I'm gonna go to the place that's the best

Go to the place that's the best"

Rock,Twenty One Pilots,Vessel ,Holding on to You (live at LC Pavillion) ,"I'm taking over my body, back in control, no more shotty,
I bet a lot of me was lost, 't's uncrossed and 'i's undotted,
I fought it a lot and it seems a lot like flesh is all I got,
Not anymore, flesh out the door, swat,
I must've forgot, you can't trust me,
I'm open a moment and close when you show it,
Before you know it I'm lost at sea,
And now that I write and think about it,
And the story unfolds,
You should take my life, you should take my soul.

You are surrounding all my surroundings,
Sounding down the mountain range of my left-side brain,
You are surrounding all my surroundings,
Twisting the kaleidoscope behind both of my eyes.

And I'll be holding on to you.

And I'll be holding on to you.

Remember the moment you know exactly where you're going,
'Cause the next moment, before you know it,
Time is slowing and it's frozen still,
And the window sill looks really nice, right?
You think twice about your life, it probably happens at night,
right? Fight it, take the pain, ignite it,
Tie a noose around your mind loose enough to breathe fine and tie it,
To a tree, tell it, ""You belong to me,
This ain't a noose, this is a leash,
And I have some news for you, you must obey me.""

You are surrounding all my surroundings,
Sounding down the mountain range of my left-side brain,
You are surrounding all my surroundings,
Twisting the kaleidoscope behind both of my eyes.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Lean with it, rock with it,
When we gunna stop with it,
Lyrics that mean nothing, we were gifted with thought,
Is it time to move our feet to anspective beat,
It ain't the speakers that bump hearts, it's our hearts that make the beat.

Lean with it, rock with it,
When we gunna stop with it,
Lyrics that mean nothing, we were gifted with thought,
Is it time to move our feet to anspective beat,
It ain't the speakers that bump hearts, it's our hearts that make the beat.

Lean with it, rock with it,
When we gunna stop with it,
Lyrics that mean nothing, we were gifted with thought,
Is it time to move our feet to anspective beat,
It ain't the speakers that bump hearts, it's our hearts that make the beat.

Lean with it, rock with it,
When we gunna stop with it,
Lyrics that mean nothing, we were gifted with thought,
Is it time to move our feet to anspective beat,
It ain't the speakers that bump hearts, it's our hearts that make the beat.

(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you!"

Rock,Twenty One Pilots,Vessel ,Migraine ,"Am I the only one I know
Waging my wars behind my face and above my throat
Shadows will scream that I'm alone

I-I-I've got a migraine
and my pain will range from up down and sideways
thank God it's Friday
cause Fridays will always be better than Sundays
cause Sunday's are my suicide days
I don't know why they always seem so dismal
Thunderstorms, cloud, snow, and a slight drizzle
Whether it's the weather or the letters by my bed
sometimes death seems better than the migraine in my head
Let it be said what the headache represents
It's me defending in suspense
It's me suspended in a defenseless

test being tested by a ruthless examiner

that's represented best by my depress... ing thoughts
I do not have writers block

my writer just hates the clock
it will not let me sleep, I'll get some sleep when I'm dead

and sometimes death seems better than the migraine in my head
Am I the only one I know
Waging my wars behind my face and above my throat
Shadows will scream that I'm alone
But I know we've made it this far, kid
yeah, yeah, yeah
I am not as fine as I seem pardon
Me for yelling I'm telling you green gardens
are not what's growing in my psyche
it's a different me
a difficult to be, stop feasting lumber down trees
freeze frame
please let me paint a mental picture portrait

something you won't forget, it's all about my forehead
deny what is important, holds back contents
that make pandora's box contents' look non-violent

Behind my eyelids are islands of violence
my mind shipwrecked, this is the only land my mind could find
I did not know it was such a violent island
Full of tidal waves, suicidal crazed lions

They're trying to eat me blood running down their chin
and they know that I can fight or I can let the lion win
I begin to assemble what weapons I can find
Cause sometimes to stay alive you gotta kill your mind

Am I the only one I know
Waging my wars behind my face and above my throat
Shadows will scream that I'm alone
But I know we've made it this far, kid
yeah, yeah, yeah
yeah, yeah, yeah
And I will say that we should take a day to break away
from all the pain our brain has made

the game is not played alone
And I will say that we should take a moment and hold it
and keep it frozen and know that life has a hopeful undertone
And I will say that we should take a day to break away
from all the pain our brain has made
the game is not played alone
And I will say that we should take a moment and hold it
and keep it frozen and know that life has a hopeful undertone
Am I the only one I know
Waging my wars behind my face and above my throat
Shadows will scream that I'm alone
But I know we've made it this far, kid
We've made it this far, we've made it this F-"

Rock,Twenty One Pilots,Vessel ,House of Gold ,"She asked me, ""Son, when I grow old
Will you buy me a house of gold?
And when your father turns to stone
Will you take care of me?""
She asked me, ""Son, when I grow old
Will you buy me a house of gold?
And when your father turns to stone
Will you take care of me?""

I will make you
Queen of everything you see
I'll put you on the map
I'll cure you of disease

Let's say we up and left this town
And turned our future upside-down
We'll make pretend that you and me
Lived ever after, happily

She asked me, ""Son, when I grow old
Will you buy me a house of gold?
And when your father turns to stone
Will you take care of me?""

I will make you
Queen of everything you see
I'll put you on the map
I'll cure you of disease.

And since we know that dreams are dead
And life turns plans up on their head
I will plan to be a bum
So I just might become someone
She asked me, ""Son, when I grow old
Will you buy me a house of gold?
And when your father turns to stone
Will you take care of me?""
I will make you
Queen of everything you see
I'll put you on the map
I'll cure you of disease"

Rock,Twenty One Pilots,Vessel ,Car Radio ,"I ponder of something great
My lungs will fill and then deflate
They fill with fire
Exhale desire
I know it's dire
My time today

I have these thoughts
So often I ought
To replace that slot
With what I once bought
Cause somebody stole
My car radio

And now I just sit in silence

Sometimes quiet is violent
I find it hard to hide it
My pride is no longer inside
It's on my sleeve
My skin will scream
Reminding me of
Who I killed inside my dream
I hate this car that I'm driving
There's no hiding for me
I'm forced to deal with what I feel

There is no distraction to mask what is real
I could pull the steering wheel

I have these thoughts
So often I ought
To replace that slot
With what I once bought

Cause somebody stole
My car radio
And now I just sit in silence

I ponder of something terrifying
Cause this time there's no sound to hide behind
I find over the course of our human existence
One thing consists of consistence
And it's that we're all battling fear
Oh dear, I don't know if we know why we're here
Oh my, too deep - please stop thinking
I liked it better when my car had sound
There are things we can do
But from the things that work there are only two
And from the two that we choose to do
Peace will win
And fear will lose
There's faith and there's sleep
We need to pick one please because
Faith is to be awake
And to be awake is for us to think

And for us to think is to be alive
And I will try with every rhyme
To come across like I am dying
To let you know you need to try to think

I have these thoughts
So often I ought

To replace that slot
With what I once bought
Cause somebody stole
My car radio
And now I just sit in silence

I ponder of something great
My lungs will fill and then deflate
They fill with fire
Exhale desire
I know it's dire
My time today

I have these thoughts
So often I ought
To replace that slot
With what I once bought
Cause somebody stole
My car radio
And now I just sit in silence"

Rock,Twenty One Pilots,Vessel ,Fake You Out ,"I want to drive away
In the night, headlights call my name

I, I'll never be, be what you see inside
You say I'm not alone, but I am petrified
You say that you are close, is close the closest star?
You just feel twice as far, you just feel twice as far

And I'll fall
And I'll break
And I'll fake
All I wanna

And I'll fall down
And I'll break down
And I'll fake you out
All I wanna

I'm so afraid
Of what you have to say
Cause I am quiet now

And silence gives you space
I'll never be, be what you see inside
You say I'm not alone, but I am petrified

You say that you are close, is close the closest star?
You just feel twice as far, you just feel twice as far
And I'll fall
And I'll break

And I'll fake
All I wanna
And I'll fall down
And I'll break down

And I'll fake you out
All I wanna
It's the same game today as it always is
I don't give these places fake my name explaining this
And the wrists of my mind have the bleeding lines
That remind me of all the times...
I have committed
Dirty dirty crimes that are perfectly form-fitted
To what I've done and what I'm doing
I'm brewing and losing and spewing infusing
And believe me that's what all the kids are doing
What kids are doing are killing themselves
They feel they have no control of their prisoner's cell
And if you're one of them then you're one of me
And you would do almost anything just to feel free...
Am I right? Of course I am
Convince me otherwise would take all night

Before you walk away, there's one more thing I want to say
Our brains are sick but that's okay
And I'll fall

And I'll break
And I'll fake
All I wanna
All I wanna
Yeah, and I'll fall down
And I'll break down
And I'll fake you out
All I wanna
Yeah, and I'll fall down
And I'll break down
And I'll fake you out
All I wanna
I'm so afraid
Of what you have to say
Cause I am quiet now
And silence gives you space"

Rock,Twenty One Pilots,Vessel ,Trees ,"I know where you stand
Silent in the trees
And thats where I am
Silent in the trees.
Why won't you speak
Where I happen to be?
Silent in the trees
Standing cowardly.

I can feel your breath.
I can feel my death.
I want to know you.
I want to see.
I want to say, hello
Hello
Hello
Hello

Na na, na na na nah na na
Na na, na na na nah na na
Na na, na na na nah na na
Na na, na na na nah na na

I know where you stand
Silent in the trees
And that's where I am
Silent in the trees.
Why won't you speak
Where I happen to be?
Silent in the trees
Standing cowardly

I can feel your breath.
I can feel my death.
I want to know you.
I want to see.
I want to say hello.

Na na, na na na nah na na
Na na, na na na nah na na
Hello, hello
Na na, na na na nah na na
Na na, na na na nah na na
Hello, hello

Hello, hello
Hello, hello"

Rock,Twenty One Pilots,Vessel ,Holding On To You ,"I'm taking over my body, back in control, no more shotty
I bet a lot of me was lost, 't's uncrossed and 'i's undotted
I fought it a lot and it seems a lot like flesh is all I got
Not anymore, flesh out the door, swat
I must've forgot, you can't trust me
I'm open a moment and close when you show it
Before you know it I'm lost at sea
And now that I write and think about it
And the story unfolds
You should take my life, you should take my soul.

You are surrounding all my surroundings
Sounding down the mountain range of my left-side brain
You are surrounding all my surroundings
Twisting the kaleidoscope behind both of my eyes.

And I'll be holding on to you.

And I'll be holding on to you.

Remember the moment you know exactly where you're going
'Cause the next moment, before you know it
Time is slowing and it's frozen still
And the window sill looks really nice, right?
You think twice about your life, it probably happens at night
right? Fight it, take the pain, ignite it
Tie a noose around your mind loose enough to breathe fine and tie it
To a tree, tell it, ""You belong to me
This ain't a noose, this is a leash
And I have some news for you, you must obey me.""

You are surrounding all my surroundings
Sounding down the mountain range of my left-side brain
You are surrounding all my surroundings
Twisting the kaleidoscope behind both of my eyes.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Entertain my faith.

Lean with it, rock with it
When we gunna stop with it
Lyrics that mean nothing, we were gifted with thought
Is it time to move our feet to introspective beat
It ain't the speakers that bump hearts, it's our hearts that make the beat.

Lean with it, rock with it
When we gunna stop with it
Lyrics that mean nothing, we were gifted with thought
Is it time to move our feet to introspective beat
It ain't the speakers that bump hearts, it's our hearts that make the beat.
Lean with it, rock with it
When we gunna stop with it
Lyrics that mean nothing, we were gifted with thought
Is it time to move our feet to introspective beat
It ain't the speakers that bump hearts, it's our hearts that make the beat.
Lean with it, rock with it
When we gunna stop with it
Lyrics that mean nothing, we were gifted with thought
Is it time to move our feet to introspective beat
It ain't the speakers that bump hearts, it's our hearts that make the beat.
(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you.
(And I'll be holding on to you) And I'll be holding on to you!"

Rock,Twenty One Pilots,Vessel ,Forest ,"I don't know why I feed on emotion
There's a stomach inside my brain
I don't want to be heard
I want to be listened to
Does it bother anyone else
That someone else has your name?
Does it bother anyone else
That someone else has your name?

I scream, you scream
We all scream 'cause we're terrified
Of what's around the corner
We stay in place
â€˜Cause we don't want to lose our lives

So let's think of something better.
Down in the forest we'll sing a
One that everybody knows
Hands held higher, we'll be on fire
Singing songs that nobody wrote.

My brain has given up
White flags are hoisted
I took some food for thought
It might be poisoned
The stomach in my brain
Throws up on to the page
Does it bother anyone else
That someone else has your name?
Does it bother anyone else
That someone else has your name?

I scream, you scream
We all scream 'cause we're terrified
Of what's around the corner
We stay in place
'Cause we don't wanna loose our lives

So let's think of something better
Down in the forest
We'll sing a
One that everybody knows
Hands held higher

We'll be on fire
Singing songs that nobody wrote
Quickly moving towards a storm
Moving forward, torn
In to pieces over reasons
Of what these storms are for
I don't understand why everything I adore
Takes a different form when I squint my eyes
Have you ever done that
When you squint your eyes
And your eyelashes make it look a little not right
And then when just enough light

Comes from just the right side
And you find you're not who you're suppose to be?
This is not what you're suppose to see
Please, remember me? I am suppose to be
King of a kingdom or swinging on a swing
Something happened to my imagination
This situation's becoming dire
My treehouse is on fire
And for some reason I smell gas on my hands

This is not what I had planned
This is not what I had planned.
Down in the forest
We'll sing a Hands held higher
We'll be on fire
Singin songs that nobody wrote
Down in the forest
We'll sing a
One that everybody knows
Hands held higher
We'll be on fire
Singing songs that nobody wrote
Hands held higher
We'll be on fire
Hands held higher
We'll be on fire"

Rock,Twenty One Pilots,Vessel ,The Run and Go ,"I can't take them on my own, my own
Oh, I'm not the one you know, you know
I have killed a man and all I know
Is I am on the run and go.

Don't wanna call you in the nighttime
Don't wanna give you all my pieces
Don't wanna hand you all my troubles
Don't wanna give you all my demons
You'll have to watch me struggle
From several rooms away
But tonight I'll need you to stay.

Do-do-do-do, do-do-do-do...
I am up against the wall, the wall
For I hear them coming down the hall
I have killed a man and all I know

Is I am on the run and go.
Don't wanna call you in the nighttime
Don't wanna give you all my pieces
Don't wanna hand you all my troubles
Don't wanna give you all my demons
You'll have to watch me struggle
From several rooms away

But tonight I'll need you to stay.

Do-do-do-do, do-do-do-do...
Cold nights under siege from accusations

Cerebral thunder in one-way conversations
Ooh-ooh, ooh-ooh, ooh-ooh-ooh.
Don't wanna call you in the nighttime
Don't wanna give you all my pieces
Don't wanna hand you all my troubles
Don't wanna give you all my demons
You'll have to watch me struggle
From several rooms away
But tonight I'll need you to stay.
Tonight I'll need you to stay!"

Rock,Twenty One Pilots,Vessel ,Lovely ,"You say things with your mouth
Cobwebs and flies come out
I hear a second voice behind your tongue somehow
Luckily I can read your mind
Flies and cobwebs unwind
They will not take you down
They will not cast you out.

Dear friend, here we are again pretending
To understand how you think your world is ending
Sending signals and red flags in waves
It's hard to tell the difference between blood and water these days
I'll pray that one day you see
The only difference between life and dying
Is one is trying, that's all we're called to do
So try to love me and I'll try to save you.

Won't you stay alive
I'll take you on a ride
I will make you believe you are lovely.

Won't you stay alive
I'll take you on a ride
I will make you believe you are lovely.

Your redemption won't grow stale
We are now just setting sail
On the seas of what we fear
Treason now is growing near to me

I'm coming clean
God, hit me straight on.

Won't you stay alive
I'll take you on a ride
I will make you believe you are lovely.

Won't you stay alive
I'll take you on a ride
I will make you believe you are lovely.

Don't be gone You say things with your mouth, cobwebs and flies come out."

Rock,Twenty One Pilots,Vessel ,Kitchen Sink ,"Nobody thinks what I think,
Nobody dreams when they blink
Think things on the brink of blasphemy
I'm my own shrink
Think things are after me, my catastrophe
At my kitchen sink, you don't know what that means
Because a kitchen sink to you
Is not a kitchen sink to me, ok friend?
Are you searching for purpose?
Then write something, yeah it might be worthless
Then paint something then, it might be wordless
Pointless curses, nonsense verses
You'll see purpose start to surface
No one else is dealing with your demons
Meaning maybe defeating them
Could be the beginning of your meaning, friend

Go away
Go away
Go away
Go away
Leave me alone
Leave me alone
Leave me alone
Leave me alone
Leave me alone
Leave me alone
Leave me alone

Nobody thinks what you think, no one
Empathy might be on the brink of extinction
They will play a game and say
They know what you're going through
And I tried to come up with an artistic way to say
They don't know you, and neither do I
So here's a prime example of a stand up guy
Who hates what he believes and loves it at the same time
Here's my brother and his head's screwed up
But that's alright.

Time gains momentum the moment when I'm living in 'em
I'm winning a momentary sinning a moment passing after
A re-beginning moments mending memories
Pretending enemies are friend of me, sending me straight to bending me
My bad behavior but I bet I could have been a better man
Copy and paste caught me, and copy, better rhymes bother me
The better the rhythm the badder I am but I bet I'll battle with 'em battle
better I am, Gambling man, better bet I am a gambling man, I am?

Go away
Go away
Go away
Go away
Leave me alone
Leave me alone
Leave me alone
Leave me alone
Leave me alone
Don't leave me alone
Alone
Alone
Alone
Alone
Alone"

Rock,Twenty One Pilots,Vessel ,Glowing Eyes ,"lalada. la. lalalaa.

lalada. la. lalaa...

lalada. la. lalala.

lalada. la. lala.

We all are stranger creatures than when we all started out as kids
Culture forbids
We have romantic fantasies about what dying truly is
Fall off the grid.
We live for the night's decor
It reveals what we dream of.
I know there's someone at the door
They called for help, of this I'm sure
But do I want to say goodbye to all the glowing eyes
I'm holding on to what I know
And what I know, I must let go
But I would rather play a song for the eyes to sing along.

lalada. la. lalalaa.

lalada. la. lalaa...

lalada. la. lalalaa.

lalada. la. lalaa.

We all know somebody who knows somebody who's doing great
I know some people who know people who are flying straight
But I'll kindly enter into rooms of depression
While ceiling fans and idle hands will take my life again.
We live for the night's decor
It reveals what we dream of.
I know there's someone at the door
They called for help, of this I'm sure
But do I want to say goodbye to all the glowing eyes
I'm holding on to what I know
And what I know, I must let go
But I would rather play a song for the eyes to sing along.
This room is far too dark for us to stay around.

Redemption's not that far and darkness is going down.

This room is far too dark for us to stay around.

Redemption's not that far
and darkness is going down.

lalada. la. lalalaa.

lalada. la. lalaa...

lalada. la. lalalaa.

lalada. la. lalaa.

I'm holding on to what I know
And what I know, I must let go
But I would rather play a song for eyes to sing along.

lalada. la. lalalaa.

lalada. la. lalaa...

lalada. la. lalalaa.

lalada. la. lalaa.

